bug_report,file,first_appear,last_appear,reason
https://bugzilla.mozilla.org/show_bug.cgi?id=1545345,dom/workers/WorkerScope.cpp,65,74,
https://bugzilla.mozilla.org/show_bug.cgi?id=1632241,netwerk/sctp/src/netinet/sctp_input.c,63,74,
https://bugzilla.mozilla.org/show_bug.cgi?id=1632717,dom/media/eme/MediaEncryptedEvent.cpp,74,75,
https://bugzilla.mozilla.org/show_bug.cgi?id=1632717,dom/media/eme/MediaKeyMessageEvent.cpp,74,75,
https://bugzilla.mozilla.org/show_bug.cgi?id=1631597,security/nss/lib/freebl/mpi/mpi.c,63,76,
https://bugzilla.mozilla.org/show_bug.cgi?id=1631597,security/nss/lib/freebl/mpi/mplogic.c,63,76,
https://bugzilla.mozilla.org/show_bug.cgi?id=1644076,dom/security/FramingChecker.cpp,77,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1644076,dom/security/nsCSPContext.cpp,77,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1644954,gfx/2d/Factory.cpp,63,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1644954,toolkit/xre/nsAppRunner.cpp,63,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1645204,netwerk/protocol/http/HttpBaseChannel.cpp,69,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1646787,js/src/wasm/WasmBaselineCompile.cpp,74,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1650811,xpcom/io/Base64.cpp,63,77,
https://bugzilla.mozilla.org/show_bug.cgi?id=1651001,js/src/gc/Zone.cpp,78,78,
https://bugzilla.mozilla.org/show_bug.cgi?id=1651001,js/src/vm/Compartment.cpp,78,78,
https://bugzilla.mozilla.org/show_bug.cgi?id=1651001,js/src/vm/ProxyObject.cpp,78,78,
https://bugzilla.mozilla.org/show_bug.cgi?id=1656987,dom/html/HTMLCanvasElement.cpp,63,80,
https://bugzilla.mozilla.org/show_bug.cgi?id=1656987,image/Image.cpp,63,80,
https://bugzilla.mozilla.org/show_bug.cgi?id=1660954,dom/abort/AbortSignal.cpp,80,80,
https://bugzilla.mozilla.org/show_bug.cgi?id=1660954,dom/fetch/Fetch.cpp,63,80,
https://bugzilla.mozilla.org/show_bug.cgi?id=1314912,docshell/shistory/ChildSHistory.cpp,79,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1314912,dom/base/LocationBase.cpp,77,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1314912,dom/base/nsHistory.cpp,79,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551615,dom/media/gmp/GMPChild.cpp,65,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1551615,dom/media/gmp/GMPServiceChild.cpp,71,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1651705,widget/android/nsWindow.cpp,81,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1660236,gfx/2d/DrawTargetSkia.cpp,65,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1660236,gfx/2d/SourceSurfaceSkia.cpp,65,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1666300,editor/libeditor/HTMLEditorDataTransfer.cpp,76,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1666300,parser/html/nsParserUtils.cpp,63,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1667912,js/src/gc/Marking.cpp,78,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1669355,netwerk/protocol/http/nsHttpChannel.cpp,81,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1675905,js/src/jit/IonBuilder.cpp,65,81,
https://bugzilla.mozilla.org/show_bug.cgi?id=1664831,gfx/layers/ipc/ShadowLayers.cpp,65,82,
https://bugzilla.mozilla.org/show_bug.cgi?id=1673567,js/src/vm/HelperThreads.cpp,82,82,
https://bugzilla.mozilla.org/show_bug.cgi?id=1674343,dom/base/nsContentUtils.cpp,67,82,
https://bugzilla.mozilla.org/show_bug.cgi?id=1666285,dom/workers/WorkerPrivate.cpp,63,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1670378,js/src/jsapi.cpp,70,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1670378,js/src/proxy/CrossCompartmentWrapper.cpp,65,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1670378,js/src/vm/JSObject.cpp,65,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1674835,netwerk/protocol/http/HttpTransactionParent.cpp,73,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1674835,netwerk/protocol/http/nsHttpTransaction.cpp,72,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1675097,docshell/base/nsDocShell.cpp,72,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1677590,third_party/sipcc/sdp_attr.c,82,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1680410,dom/media/MediaTrackGraph.cpp,83,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1683964,netwerk/sctp/src/netinet/sctp_input.c,63,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1683964,netwerk/sctp/src/netinet/sctp_pcb.c,63,83,
https://bugzilla.mozilla.org/show_bug.cgi?id=1684497,layout/generic/MathMLTextRunFactory.cpp,63,83,
